track_id,track_name,main_artist_name,duration_second
7cXiUiPBBvJlrijfy1N0MS,Reason,Elza Kanzaki,267
13sxKGMd5RDQYavHyZ8Flw,Catch the Moment,LiSA,282
2uI59rwix0XOlYnUdvtoXr,勝手にひとりでドキドキすんなよ,藤川千愛,286
6VCeywT4JeawuZOUkQ1okx,Pussy Is God,King Princess,205
4005HPFgzlZwXu8D9gZisp,You Make It So Easy,Kingswood,198
6iey2E15nqKQ60KW8vBQQi,Stay Awake,Dean Lewis,185
7rP2j96yHkABXBAKpMAFs9,something more,j ember,196
4tVphly4D1PB8tJC9gHMcJ,10/10,Rex Orange County,146
4kAAko5kg70EjAWGF2ViWW,Hikarunara,Goose house,252
0f34MnV51uwA1jhPQ2XnDe,Brave Shine,Aimer,233
0lTOFmzXZ8hxuH5yjTORx6,Not Angry Anymore,Thelma Plum,203
5yTKl47wD2Us05FIegu4VF,All Night Long,KOTONOHOUSE,245
3zd71pqDjqgaO2RluRBVgI,By Myself,FIDLAR,214
29xNgitB4Ymeg8P6GSBPib,Stray Cat,Snail's House,159
4R9ATNRRl1uth17i5qDCc0,I.F.L.Y.,Bazzi,165
7vcNp4cj4uF4AyX5aKY4Ps,You're Not Good Enough,Blood Orange,261
0NsMgzCzCuedQKqIWSOF34,"Kamado Tanjirou no Uta (From ""Demon Slayer: Kimetsu no Yaiba"") - Full Version",Akano,328
6JKRddR3rfiGDopTJLiG1u,Otomedomoyo,CHiCO with HoneyWorks,253
1vAxW4D0wwfLaf12bkqlvB,Orion,Kenshi Yonezu,281
5lSFUFS28lvBkG8IfeQmOE,Thaw (Interlude),Snail's House,118
48gbPVwayrBnpyrjaQxP2q,Sentimental Crisis,halca,242
3LIOJzSQNPhu2CGv7JSgP1,[Whiteout],Snail's House,244
35xuLDT9GHLLRvWtOc6UAb,DreaMilk tea,colate,238
7HAkrW8JUYoVR9dXwb6Uku,Hotarunohikari,Ikimonogakari,242
16FgjLvtKWzDpZxuh4wY9w,小さな恋のうた feat.七穂,Kobasolo,283
3Z0oQ8r78OUaHvGPiDBR3W,Into the Unknown,Idina Menzel,194
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,Tame Impala,216
2NSvwNJJFTsc4IQV9QkMog,Aio Oshietekureta Kimie - White Night Edition,Qaijff,299
7vVfV8GJ9vdzDnzWCWmIBp,Torisetsu,Kana Nishino,259
190mzTupXIpyrfnPJyJyjP,Sunny After Rain,aran,229
6uq3dJDgNiB9q3hyV1u4st,Anybody Out There,Young Mister,222
